Headline,Incident/Not incident,Incident,Source,Date
7 perish in road accidents,Incident,accident,newsday,13-Apr-18
9 die in Christmas accidents,Incident,accident,newsday,25-Dec-17
5 perish in Byo-Victoria Falls Road accidents,Incident,accident,newsday,18-Dec-17
13 perish in separate kombi accidents,Incident,accident,newsday,12-Jun-17
10 perish in Easter accidents,Incident,accident,newsday,20-Jan-16
17 people killed in separate accidents,Incident,accident,newsday,12-Dec-16
"Rail accidents, suicides claim 300 lives",Incident,accident,newsday,23-Apr-15
Road accidents increase as Easter holiday nears,Incident,accident,newsday,27-Dec-14
Mnangagwa accident: Timeline of Zanu PF chefs accidents,Incident,accident,newsday,13-Mar-14
Head On Collision: 3 Killed In Accident,Incident,accident,Zimeye,10-Dec-17
"Horror Accident In Southlea Park, Harare",Incident,accident,Zimeye,9-May-18
Top Manager Killed In Horrific Road Accident,Incident,accident,Zimeye,6-May-18
Horrific Accident At Harare Showgrounds Claims 2,Incident,accident,Zimeye,1-May-18
Soldiers Killed In Horror Accident Honoured ,Incident,accident,Zimeye,1-May-18
WARNING DISTURBING PICTURES- CAR ACCIDENT: Driver Killed In While Carrying Corpse From South Africa,Incident,accident,Zimeye,28-Apr-18
Presidential Guard Nabbed In Armed Robbery Storm,Incident,accident,Zimeye,12-Apr-18
Armed robbery suspect remanded and 3 relatives await sentencing,Incident,robbery,Zimeye,12-Mar-18
Pastor’s wife survives three gun shots during robbery,Incident,robbery,Newsday,8-Feb-18
"Husband, wife arrested for robbery in Bikita",Incident,robbery,newsday,25-Jan-18
Harare man in soup for setting up robbery,Incident,robbery,Newsday,8-Jan-18
Zim man gets 180 years for robbery in SA,Incident,robbery,newsday,11-Oct-17
3 cops jailed 5 years each for robbery,Incident,robbery,newsday,19-Sep-17
Epworth robbery gang up for murder,Incident,robbery,Newsday,30-May-17
8 Zimbabwean students nabbed in Cyprus for armed robbery,Incident,robbery,newsday,
Presidential Guard Nabbed In Armed Robbery Storm,Incident,robbery,Zimeye,18-Dec-17
Murderous Robbery Gangs Arrested,Incident,robbery,Zimeye,25-Jan-17
Evil Robbery Caught On Video,Incident,robbery,Zimeye,19-Jan-17
3 People Shot Dead In Vile Robbery,Incident,robbery,Zimeye,3-Jan-17
ZRP Cop Caught for Armed Robbery,Incident,robbery,Zimeye,15-Dec-14
5.6,Incident,robbery,Zimeye,
6.7,Incident,robbery,Zimeye,
5.6,Incident,robbery,Zimeye,
Alleged gangster killer gets 7 years for robbery,Incident,robbery,Chronicle,5-May-18
Armed robbers pounce on Gutu’s offices,Incident,robbery,Chronicle,4-May-18
5.6,Incident,robbery,,
5.9,Incident,robbery,,
6.1,Incident,robbery,,
6.3,Incident,robbery,,
6.1,Incident,robbery,,
6.4,Incident,robbery,,
6.6,Incident,robbery,,
6.8,Incident,robbery,,
6.7,Incident,robbery,,
6,Incident,robbery,,
5.7,Incident,robbery,,
5.5,Incident,robbery,,
5.5,Incident,robbery,,
5.8,Incident,robbery,,
6,Incident,robbery,,
5.4,Incident,robbery,,
6,Incident,robbery,,
6.7,Incident,robbery,,
6.3,Incident,robbery,,
5.6,Incident,robbery,,
5.5,Incident,robbery,,
5.5,Incident,robbery,,
6.1,Incident,robbery,,
5.8,Incident,robbery,,
5,Incident,robbery,,
5.6,Incident,robbery,,
5.7,Incident,robbery,,
5.7,Incident,robbery,,
6.2,Incident,robbery,,
5.1,Incident,robbery,,
5.7,Incident,robbery,,
6.3,Incident,theft,,
5.8,Incident,theft,,
7.1,Incident,theft,,
6.3,Incident,theft,,
6.5,Incident,theft,,
7.6,Incident,theft,,
4.9,Incident,theft,,
7.3,Incident,theft,,
6.7,Incident,theft,,
7.2,Incident,theft,,
6.5,Incident,theft,,
6.4,Incident,theft,,
6.8,Incident,theft,,
5.7,Incident,theft,,
5.8,Incident,theft,,
6.4,Incident,theft,,
6.5,Incident,theft,,
7.7,Incident,theft,,
7.7,Incident,theft,,
6,Incident,theft,,
6.9,Incident,theft,,
5.6,Incident,theft,,
7.7,Incident,theft,,
6.3,Incident,theft,,
6.7,Incident,theft,,
7.2,Incident,theft,,
6.2,Incident,theft,,
6.1,Incident,theft,,
6.4,Incident,theft,,
7.2,Incident,theft,,
7.4,Incident,theft,,
7.9,Incident,theft,,
6.4,Incident,theft,,
6.3,Incident,theft,,
6.1,Incident,theft,,
7.7,Incident,theft,,
6.3,Incident,theft,,
6.4,Incident,theft,,
6,Incident,theft,,
6.9,Incident,theft,,
6.7,Incident,theft,,
6.9,Incident,theft,,
5.8,Incident,theft,,
6.8,Incident,theft,,
6.7,Incident,theft,,
6.7,Incident,theft,,
6.3,Incident,theft,,
6.5,Incident,theft,,
6.2,Incident,theft,,
5.9,Incident,theft,,
,Not Incident,Not Incident,,
,Not Incident,Not Incident,,
,Not Incident,Not Incident,,
,Not Incident,Not Incident,,
,Not Incident,Not Incident,,
,Not Incident,Not Incident,,
,Not Incident,Not Incident,,
,Not Incident,Not Incident,,
,Not Incident,Not Incident,,
,Not Incident,Not Incident,,
,Not Incident,Not Incident,,
,Not Incident,Not Incident,,
,Not Incident,Not Incident,,
,Not Incident,Not Incident,,
,Not Incident,Not Incident,,
,Not Incident,Not Incident,,
,Not Incident,Not Incident,,
,Not Incident,Not Incident,,
,Not Incident,Not Incident,,
,Not Incident,Not Incident,,
,Not Incident,Not Incident,,
,Not Incident,Not Incident,,
,Not Incident,Not Incident,,
